date,trend
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,22.0
2022-01-06,19.857142857142858
2022-01-07,17.714285714285715
2022-01-08,17.89285714285714
2022-01-09,17.89285714285714
2022-01-10,19.32142857142857
2022-01-11,18.857142857142854
2022-01-12,18.392857142857142
2022-01-13,18.154761904761905
2022-01-14,20.297619047619047
2022-01-15,21.309523809523807
2022-01-16,18.45238095238095
2022-01-17,17.738095238095237
2022-01-18,18.63095238095238
2022-01-19,18.57142857142857
2022-01-20,17.38095238095238
2022-01-21,15.238095238095235
2022-01-22,13.69047619047619
2022-01-23,12.976190476190473
2022-01-24,13.690476190476186
2022-01-25,10.833333333333332
2022-01-26,9.5
2022-01-27,10.214285714285714
2022-01-28,11.642857142857142
2022-01-29,11.57142857142857
2022-01-30,12.82142857142857
2022-01-31,14.25
2022-02-01,16.392857142857142
2022-02-02,17.964285714285715
2022-02-03,22.25
2022-02-04,21.53571428571428
2022-02-05,22.678571428571427
2022-02-06,24.285714285714285
2022-02-07,20.714285714285715
2022-02-08,20.857142857142854
2022-02-09,20.999999999999996
2022-02-10,16.71428571428571
2022-02-11,20.285714285714285
2022-02-12,23.14285714285714
2022-02-13,21.71428571428571
2022-02-14,25.28571428571428
2022-02-15,24.428571428571427
2022-02-16,25.178571428571427
2022-02-17,24.46428571428571
2022-02-18,20.89285714285714
2022-02-19,15.892857142857142
2022-02-20,15.178571428571429
2022-02-21,12.321428571428571
2022-02-22,11.607142857142858
2022-02-23,9.142857142857142
2022-02-24,11.285714285714285
2022-02-25,11.285714285714285
2022-02-26,15.571428571428571
2022-02-27,16.285714285714285
2022-02-28,17.57142857142857
2022-03-01,19.178571428571427
2022-03-02,29.32142857142857
2022-03-03,27.178571428571423
2022-03-04,28.607142857142854
2022-03-05,29.32142857142857
2022-03-06,29.321428571428566
2022-03-07,28.035714285714278
2022-03-08,29.16666666666666
2022-03-09,20.595238095238095
2022-03-10,22.738095238095234
2022-03-11,22.023809523809522
2022-03-12,17.023809523809526
2022-03-13,22.023809523809522
2022-03-14,22.023809523809522
2022-03-15,20.83333333333333
2022-03-16,27.26190476190476
2022-03-17,30.119047619047617
2022-03-18,30.83333333333333
2022-03-19,37.26190476190476
2022-03-20,34.404761904761905
2022-03-21,35.11904761904762
2022-03-22,37.49999999999999
2022-03-23,32.5
2022-03-24,26.785714285714285
2022-03-25,27.5
2022-03-26,26.07142857142857
2022-03-27,23.928571428571427
2022-03-28,23.928571428571423
2022-03-29,21.666666666666664
2022-03-30,21.666666666666664
2022-03-31,24.52380952380952
2022-04-01,27.380952380952376
2022-04-02,30.952380952380953
2022-04-03,33.095238095238095
2022-04-04,34.52380952380952
2022-04-05,36.99999999999999
2022-04-06,34.857142857142854
2022-04-07,33.42857142857142
2022-04-08,31.999999999999993
2022-04-09,23.428571428571427
2022-04-10,29.857142857142854
2022-04-11,27.0
2022-04-12,25.0
2022-04-13,32.857142857142854
2022-04-14,36.42857142857143
2022-04-15,44.28571428571428
2022-04-16,45.0
2022-04-17,37.857142857142854
2022-04-18,39.99999999999999
2022-04-19,37.857142857142854
2022-04-20,32.5
2022-04-21,27.499999999999996
2022-04-22,19.64285714285714
2022-04-23,25.357142857142854
2022-04-24,25.357142857142854
2022-04-25,26.07142857142857
2022-04-26,25.357142857142854
2022-04-27,27.142857142857142
2022-04-28,31.428571428571427
2022-04-29,27.857142857142854
2022-04-30,29.999999999999996
2022-05-01,29.285714285714285
2022-05-02,29.999999999999996
2022-05-03,34.28571428571428
2022-05-04,32.857142857142854
2022-05-05,35.71428571428571
2022-05-06,35.0
2022-05-07,27.857142857142858
2022-05-08,25.714285714285715
2022-05-09,27.142857142857146
2022-05-10,23.571428571428566
2022-05-11,27.14285714285714
2022-05-12,20.71428571428571
2022-05-13,20.71428571428571
2022-05-14,21.428571428571427
2022-05-15,21.42857142857143
2022-05-16,18.333333333333332
2022-05-17,18.33333333333333
2022-05-18,11.904761904761903
2022-05-19,13.333333333333332
2022-05-20,16.9047619047619
2022-05-21,15.476190476190473
2022-05-22,20.476190476190474
2022-05-23,23.57142857142857
2022-05-24,25.83333333333333
2022-05-25,30.119047619047617
2022-05-26,32.97619047619047
2022-05-27,31.547619047619047
2022-05-28,42.26190476190476
2022-05-29,41.547619047619044
2022-05-30,42.26190476190476
2022-05-31,45.0
2022-06-01,42.857142857142854
2022-06-02,38.57142857142857
2022-06-03,41.42857142857143
2022-06-04,32.14285714285713
2022-06-05,33.57142857142857
2022-06-06,32.14285714285714
2022-06-07,29.71428571428571
2022-06-08,34.71428571428571
2022-06-09,36.85714285714285
2022-06-10,38.28571428571428
2022-06-11,36.142857142857146
2022-06-12,34.0
2022-06-13,33.285714285714285
2022-06-14,34.166666666666664
2022-06-15,34.88095238095238
2022-06-16,35.595238095238095
2022-06-17,31.309523809523807
2022-06-18,31.30952380952381
2022-06-19,29.166666666666664
2022-06-20,29.88095238095238
2022-06-21,29.166666666666668
2022-06-22,26.30952380952381
2022-06-23,27.023809523809522
2022-06-24,28.166666666666664
2022-06-25,31.738095238095237
2022-06-26,32.45238095238095
2022-06-27,32.273809523809526
2022-06-28,32.92857142857142
2022-06-29,35.07142857142857
2022-06-30,33.64285714285714
2022-07-01,31.78571428571428
2022-07-02,32.5
2022-07-03,34.64285714285714
2022-07-04,34.82142857142857
2022-07-05,30.714285714285715
2022-07-06,31.42857142857143
2022-07-07,29.285714285714285
2022-07-08,35.0
2022-07-09,35.714285714285715
2022-07-10,34.285714285714285
2022-07-11,32.14285714285714
